,colummn
0,project
1,gutenberg
2,ebook
3,alice
4,adventures
5,wonderland
6,lewis
7,carroll
8,cdata
9,xml
10,blockout
11,p
12,margin
13,top
14,75em
15,text
16,align
17,justify
18,margin
19,bottom
20,75em
21,h1
22,h2
23,h4
24,h5
25,h6
26,text
27,align
28,center
29,headings
30,centered
31,clear
32,h3
33,text
34,decoration
35,underline
36,text
37,align
38,center
39,clear
40,hr
41,width
42,33
43,margin
44,top
45,2em
46,margin
47,bottom
48,2em
49,margin
50,left
51,auto
52,margin
53,right
54,auto
55,clear
56,body
57,margin
58,left
59,10
60,margin
61,right
62,10
63,img
64,border
65,style
66,none
67,pagenum
68,uncomment
69,next
70,line
71,invisible
72,page
73,numbers
74,visibility
75,hidden
76,position
77,absolute
78,left
79,92
80,font
81,size
82,smaller
83,text
84,align
85,right
86,page
87,numbers
88,center
89,text
90,align
91,center
92,caption
93,font
94,weight
95,bold
96,text
97,align
98,center
99,margin
100,bottom
101,2em
102,figcenter
103,margin
104,auto
105,text
106,align
107,center
108,margin
109,top
110,2em
111,figleft
112,float
113,left
114,clear
115,left
116,margin
117,left
118,0
119,margin
120,bottom
121,0
122,margin
123,top
124,0
125,margin
126,right
127,0
128,padding
129,0
130,text
131,align
132,center
133,figright
134,float
135,right
136,clear
137,right
138,margin
139,left
140,0
141,margin
142,bottom
143,0
144,margin
145,top
146,0
147,margin
148,right
149,0
150,padding
151,0
152,text
153,align
154,center
155,poem
156,margin
157,left
158,10
159,margin
160,right
161,10
162,text
163,align
164,left
165,poem
166,br
167,display
168,none
169,poem
170,stanza
171,margin
172,1em
173,0em
174,1em
175,0em
176,poem
177,span
178,i0
179,display
180,block
181,margin
182,left
183,0em
184,padding
185,left
186,3em
187,text
188,indent
189,3em
190,poem
191,span
192,i2
193,display
194,block
195,margin
196,left
197,2em
198,padding
199,left
200,3em
201,text
202,indent
203,3em
204,poem
205,span
206,i4
207,display
208,block
209,margin
210,left
211,4em
212,padding
213,left
214,3em
215,text
